ZIP,PARENT_METRO_REGION,market_score,market_category,Median_Income,county_adj,score_adj,max_ltv,MEDIAN_SALE_PRICE,HOMES_SOLD,MEDIAN_DOM
90011,"Los Angeles, CA",31.477362655660873,Declining,24657,-2,-5,63,715500.0,26.0,74.5
90068,"Los Angeles, CA",59.09367477705247,Neutral,66830,-2,0,68,1450000.0,3.0,38.0
92374,"Riverside, CA",69.85900910459398,Neutral,38389,-1,0,69,595000.0,81.0,42.0
91607,"Los Angeles, CA",67.47512879541272,Neutral,45873,-2,0,68,1275000.0,47.0,64.5
90744,"Los Angeles, CA",46.562656449032694,Neutral,28457,-2,0,68,690000.0,15.0,49.0
91754,"Los Angeles, CA",73.78515776756554,Prime,37915,-2,2,70,1030000.0,29.0,28.0
93550,"Los Angeles, CA",39.63720221365306,Neutral,28824,-2,0,68,660000.0,4.0,25.0
90024,"Los Angeles, CA",47.5876100459962,Neutral,21670,-2,0,68,1250000.0,81.0,54.0
90805,"Los Angeles, CA",44.51616445436108,Neutral,30747,-2,0,68,370000.0,7.0,49.0
90704,"Los Angeles, CA",21.528420756535795,Declining,46842,-2,-5,63,1300000.0,1.0,44.0
90021,"Los Angeles, CA",25.431742779424226,Declining,23488,-2,-5,63,883000.0,3.0,42.0
92503,"Riverside, CA",66.73051531645311,Neutral,37066,-1,0,69,668500.0,124.0,45.5
92336,"Riverside, CA",49.80128402854723,Neutral,45501,-1,0,69,565377.0,7.0,48.0
91103,"Los Angeles, CA",71.60339832490871,Prime,33427,-2,2,70,1255000.0,25.0,33.5
92374,"Riverside, CA",13.524595748579177,Declining,38389,-1,-5,64,715000.0,1.0,83.0
90403,"Los Angeles, CA",70.25926874295966,Prime,76422,-2,2,70,4475000.0,11.0,33.0
92211,"Riverside, CA",53.8741015712382,Neutral,47472,-1,0,69,588000.0,167.0,74.0
92882,"Riverside, CA",68.50844754568483,Neutral,41464,-1,0,69,752500.0,92.0,30.0
91436,"Los Angeles, CA",54.54262763703753,Neutral,82802,-2,0,68,2500000.0,45.0,56.5
92553,"Riverside, CA",63.65893486943284,Neutral,32889,-1,0,69,542500.0,58.0,33.0
92880,"Riverside, CA",54.74952987332773,Neutral,54476,-1,0,69,686000.0,1.0,22.0
90710,"Los Angeles, CA",58.92996509363396,Neutral,36726,-2,0,68,787500.0,26.0,35.5
91406,"Los Angeles, CA",77.1871961613444,Prime,37926,-2,2,70,894500.0,64.0,34.0
92313,"Riverside, CA",35.761262213543944,Neutral,43485,-1,0,69,464000.0,1.0,32.0
90018,"Los Angeles, CA",45.71357812175874,Neutral,32126,-2,0,68,1045000.0,22.0,70.0
92307,"Riverside, CA",61.91869420608338,Neutral,34605,-1,0,69,475000.0,121.0,40.0
90278,"Los Angeles, CA",66.90523561774513,Neutral,73612,-2,0,68,1557500.0,42.0,44.0
90280,"Los Angeles, CA",36.52804164617793,Neutral,30663,-2,0,68,600000.0,1.0,106.0
90031,"Los Angeles, CA",61.781084819998945,Neutral,28612,-2,0,68,976380.0,5.0,18.0
92545,"Riverside, CA",59.547699938807405,Neutral,34709,-1,0,69,422500.0,134.0,53.0
92211,"Riverside, CA",24.52425417799474,Declining,47472,-1,-5,64,408500.0,2.0,180.0
90245,"Los Angeles, CA",74.34806721855472,Prime,75829,-2,2,70,1700000.0,31.0,34.5
